客户号,客户信息版本号,设定日期和时间,客户地址,客户电话,客户名
C00001,01,2019-05-07 20:16:38.000,上海市浦东新区金海路2360号,18018594399,刘博文
C00001,02,2020-05-08 20:16:39.000,上海市浦东新区金海路10号,18018594399,刘博文
C00001,03,2021-05-09 20:16:40.000,上海市浦东新区金海路2360号,18018593333,刘文博
C00002,01,2019-05-09 20:16:40.001,河南省鹤壁市淇滨区而能物路憩辰春形社区14号,13718195424,韩黄
C00003,01,2019-05-09 20:16:40.002,河南省许昌市魏都区知而路形植社区92号,18273294375,冯异院
C00004,01,2019-05-09 20:16:40.003,河南省周口市鹿邑县所者身路桓犹流社区40号,15699075013,张极
C00005,01,2019-05-09 20:16:40.004,河南省驻马店市上蔡县其在路远舒社区52号,17272152878,郑角諣
C00006,01,2019-05-09 20:16:40.005,河南省开封市禹王台区而后路而归社区8号,17516062617,郑始通
C00007,01,2019-05-09 20:16:40.006,河南省安阳市林州市之知路其出社区87号,13492128223,尤演
C00008,01,2019-05-09 20:16:40.007,河南省焦作市孟州市在平先路迎丘常今社区97号,14927189440,何禁
C00009,01,2019-05-09 20:16:40.008,河南省焦作市武陟县家终路仆熹吾社区41号,17134119359,褚么春
C00010,01,2019-05-09 20:16:40.009,河南省驻马店市正阳县民先路曷以社区22号,17046307816,许枪证
C00011,01,2019-05-09 20:16:40.010,河南省焦作市山阳区先正路其傲社区17号,13879664837,许习音
C00012,01,2019-05-09 20:16:40.011,河南省驻马店市泌阳县治在意路话事社区19号,18516978060,沈卡贝
C00013,01,2019-05-09 20:16:40.012,河南省安阳市龙安区后治路熹心社区14号,13987740204,曹常
C00014,01,2019-05-09 20:16:40.013,河南省平顶山市石龙区定后路归乡社区36号,13640127263,李钟岛
C00015,01,2019-05-09 20:16:40.014,河南省平顶山市石龙区后后路之窈眄社区96号,14715301888,蒋误紶
C00016,01,2019-05-09 20:16:40.015,河南省南阳市唐河县知德后路寄不社区90号,13917864327,魏纪师
C00017,01,2019-05-09 20:16:40.016,河南省信阳市浉河区至天者路壑者驾社区64号,13698065140,冯海
C00018,01,2019-05-09 20:16:40.017,河南省郑州市金水区齐在心路子既而社区29号,14769473760,孙来之
C00019,01,2019-05-09 20:16:40.018,河南省三门峡市卢氏县知至路追携社区43号,18754833329,韩白
C00020,01,2019-05-09 20:16:40.019,河南省郑州市中牟县心后心路而命自社区31号,15852274795,尤多
C00021,01,2019-05-09 20:16:40.020,河南省漯河市舞阳县诚而路泉形社区16号,14757962769,冯萨
C00022,01,2019-05-09 20:16:40.021,河南省漯河市召陵区其者下路余求载社区23号,17173215353,吴来腿
C00023,01,2019-05-09 20:16:40.022,河南省平顶山市湛河区有而路棹矣请社区36号,18980292973,张会竟
C00024,01,2019-05-09 20:16:40.023,河南省郑州市惠济区齐明天路形酌社区54号,18164596702,冯冲
C00025,01,2019-05-09 20:16:40.024,河南省新乡市牧野区亲天后路内岖悲游社区30号,17271705413,严陈
C00026,01,2019-05-09 20:16:40.025,河南省新乡市原阳县诚意欲路期归社区7号,13822051604,郑天
C00027,01,2019-05-09 20:16:40.026,河南省焦作市沁阳市正能在路经自熹欢社区82号,17580276453,沈童
C00028,01,2019-05-09 20:16:40.027,河南省许昌市禹州市心家而路径抚心社区66号,17530044537,沈场
C00029,01,2019-05-09 20:16:40.028,河南省三门峡市渑池县治后路松以社区75号,14589731717,严授玩
C00030,01,2019-05-09 20:16:40.029,河南省焦作市博爱县国止后路物命将休社区44号,18354984915,华右
C00031,01,2019-05-09 20:16:40.030,河南省濮阳市台前县修本意路胡舟社区47号,13710279290,金谁
C00032,01,2019-05-09 20:16:40.031,河南省鹤壁市鹤山区德正路桓绝虽社区8号,18749756553,郑章
C00033,01,2019-05-09 20:16:40.032,河南省鹤壁市淇县而矣路还庭社区63号,15293651071,许章
C00034,01,2019-05-09 20:16:40.033,河南省许昌市鄢陵县心心路以以常社区19号,15280601938,朱投
C00035,01,2019-05-09 20:16:40.034,河南省南阳市镇平县欲后路之亲社区94号,13011522334,赵选
C00036,01,2019-05-09 20:16:40.035,河南省洛阳市瀍河回族区至明心路舟之社区9号,14709633709,赵雨
C00037,01,2019-05-09 20:16:40.036,河南省平顶山市汝州市其虑路乘岫贵社区15号,18569588115,韩还坐
C00038,01,2019-05-09 20:16:40.037,河南省郑州市中牟县下后路于告社区97号,17719670286,赵尔
C00039,01,2019-05-09 20:16:40.038,河南省周口市扶沟县而修欲路而矫不泉社区61号,17372314824,沈七感
C00040,01,2019-05-09 20:16:40.039,河南省新乡市卫滨区诚至修路书微社区8号,13086517412,吕布洋
C00041,01,2019-05-09 20:16:40.040,河南省新乡市新乡县至诚欲路眄征遑社区72号,17076010511,张会
C00042,01,2019-05-09 20:16:40.041,河南省信阳市新县意在路临万归社区84号,14703092265,金朋法
C00043,01,2019-05-09 20:16:40.042,河南省驻马店市汝南县下先知路良径鸟相社区51号,15234326136,何依
C00044,01,2019-05-09 20:16:40.043,河南省济源市梨林镇者后路欣既赋社区41号,14958542195,施式
C00045,01,2019-05-09 20:16:40.044,河南省南阳市宛城区终治能路微遥何社区29号,13052583519,许紶
C00046,01,2019-05-09 20:16:40.045,河南省许昌市建安区国齐路常常言之社区90号,17376900756,卫欢外
C00047,01,2019-05-09 20:16:40.046,河南省焦作市马村区后者路为归不社区56号,18809752618,韩星么
C00048,01,2019-05-09 20:16:40.047,河南省商丘市柘城县国格其路以话易社区14号,18623827221,魏岁她
C00049,01,2019-05-09 20:16:40.048,河南省驻马店市正阳县后心路路吾心社区10号,18163627949,张校
C00050,01,2019-05-09 20:16:40.049,河南省鹤壁市鹤山区先后心路乘未任庭社区94号,13626123434,李易院
C00051,01,2019-05-09 20:16:40.050,河南省开封市通许县德平路以乎社区85号,17270754657,周温望
C00052,01,2019-05-09 20:16:40.051,河南省三门峡市灵宝市致者路远岖社区53号,13448147049,金姐
C00053,01,2019-05-09 20:16:40.052,河南省鹤壁市淇滨区明之路之膝社区16号,13066840014,张场当
C00054,01,2019-05-09 20:16:40.053,河南省三门峡市陕州区后而路心疑既社区74号,18397807910,王词妻
C00055,01,2019-05-09 20:16:40.054,河南省济源市承留镇后欲末路木实之社区42号,18171044429,尤人毛
C00056,01,2019-05-09 20:16:40.055,河南省驻马店市汝南县静而路为归而社区77号,13972616566,孔特找
C00057,01,2019-05-09 20:16:40.056,河南省周口市太康县明物正路膝欲天以社区60号,14583745030,钱四伯
C00058,01,2019-05-09 20:16:40.057,河南省信阳市浉河区而而修路将松归春社区83号,17848220376,周球错
C00059,01,2019-05-09 20:16:40.058,河南省濮阳市濮阳县者治路还幼社区58号,18528608628,严素
C00060,01,2019-05-09 20:16:40.059,河南省许昌市长葛市正所路追而社区28号,13301196356,严项睛
C00061,01,2019-05-09 20:16:40.060,河南省信阳市商城县其明后路杖实为社区26号,15700271704,杨无信
C00062,01,2019-05-09 20:16:40.061,河南省驻马店市确山县其诚路乎欣涓社区66号,18101618043,沈谢
C00063,01,2019-05-09 20:16:40.062,河南省许昌市襄城县者国路吾宇社区37号,15628932571,魏运
C00064,01,2019-05-09 20:16:40.063,河南省许昌市长葛市则国路命戚既社区71号,13841174607,蒋停行
C00065,01,2019-05-09 20:16:40.064,河南省商丘市永城市格心路矫光社区47号,13118312575,陶名
C00066,01,2019-05-09 20:16:40.065,河南省开封市龙亭区在家身路怅亲社区40号,14947783775,朱条
C00067,01,2019-05-09 20:16:40.066,河南省鹤壁市淇滨区其定欲路以者容内社区84号,18466005242,严幸另
C00068,01,2019-05-09 20:16:40.067,河南省郑州市中原区学修路云其社区87号,17785573762,吴禁
C00069,01,2019-05-09 20:16:40.068,河南省信阳市浉河区而者路可观菊社区32号,18927909677,卫忽
C00070,01,2019-05-09 20:16:40.069,河南省濮阳市华龙区得定始路知犹社区66号,13572969509,尤落诗
C00071,01,2019-05-09 20:16:40.070,河南省新乡市者天者路将富社区78号,17317664522,许反
C00072,01,2019-05-09 20:16:40.071,河南省三门峡市湖滨区其明路息翳以问社区20号,15652771197,陈实
C00073,01,2019-05-09 20:16:40.072,河南省开封市兰考县齐其路以自事社区39号,17030819063,魏您让
C00074,01,2019-05-09 20:16:40.073,河南省周口市川汇区在而得路我乎归社区49号,13621535168,陶方拥
C00075,01,2019-05-09 20:16:40.074,河南省平顶山市宝丰县其治路欲交夫社区79号,18033804372,金商
C00076,01,2019-05-09 20:16:40.075,河南省洛阳市吉利区安正天路远书寻或社区2号,15030067334,吴臓
C00077,01,2019-05-09 20:16:40.076,河南省安阳市文峰区后而路僮登是社区60号,17306842744,陈秋
C00078,01,2019-05-09 20:16:40.077,河南省郑州市中牟县后先先路荒飞社区96号,15381799851,沈供石
C00079,01,2019-05-09 20:16:40.078,河南省濮阳市华龙区诚其者路愿以云社区64号,18975089549,施低史
C00080,01,2019-05-09 20:16:40.079,河南省洛阳市老城区至后明路时兮社区33号,14953967445,陶居
C00081,01,2019-05-09 20:16:40.080,河南省平顶山市汝州市身诚路有欣成社区83号,17873165322,褚具成
C00082,01,2019-05-09 20:16:40.081,河南省信阳市光山县知大后路仆以可社区41号,18756126379,陶富
C00083,01,2019-05-09 20:16:40.082,河南省濮阳市华龙区先定路行畴傲社区5号,14764126111,周素抱
C00084,01,2019-05-09 20:16:40.083,河南省焦作市武陟县家知能路化巾内社区34号,14569474181,严提
C00085,01,2019-05-09 20:16:40.084,河南省郑州市善安路心植飘复社区90号,14788867421,沈忽
C00086,01,2019-05-09 20:16:40.085,河南省新乡市大事路景西之社区68号,17710682279,冯样
C00087,01,2019-05-09 20:16:40.086,河南省济源市王屋镇后道心路以交乐社区59号,14568839828,吕错模
C00088,01,2019-05-09 20:16:40.087,河南省商丘市柘城县天天家路孤观社区29号,15978309050,杨读
C00089,01,2019-05-09 20:16:40.088,河南省鹤壁市淇滨区意其能路于岖胡归社区64号,13524281407,褚桌赶
C00090,01,2019-05-09 20:16:40.089,河南省许昌市长葛市静本知路愿而迷登社区94号,18075926809,周穿
C00091,01,2019-05-09 20:16:40.090,河南省许昌市鄢陵县正而路丘菊社区33号,13314850909,孙哭组
C00092,01,2019-05-09 20:16:40.091,河南省濮阳市南乐县身之修路飞易为社区57号,14900667665,蒋感
C00093,01,2019-05-09 20:16:40.092,河南省信阳市平桥区先安虑路安而社区34号,13354734693,冯态
C00094,01,2019-05-09 20:16:40.093,河南省南阳市社旗县后知后路知来之以社区90号,15396494865,魏微九
C00095,01,2019-05-09 20:16:40.094,河南省驻马店市正阳县欲明其路门南容出社区1号,15754843370,周春
C00096,01,2019-05-09 20:16:40.095,河南省郑州市管城回族区知矣路行几绝社区84号,17194849139,张非环
C00097,01,2019-05-09 20:16:40.096,河南省鹤壁市山城区心者路孤者贵社区42号,14973139099,魏曲改
C00098,01,2019-05-09 20:16:40.097,河南省漯河市召陵区知在明路涓欣还社区38号,14585732351,陶紧形
C00099,01,2019-05-09 20:16:40.098,河南省南阳市桐柏县后终路息归社区96号,18917871491,卫少
C00100,01,2019-05-09 20:16:40.099,河南省开封市通许县能知治路欢孤怡胡社区80号,14968647028,尤太案
